from.id,from.type,to.id,to.type,weight
transmits,concept,2010-04-06.txt,source,1
initialization,concept,2004-02-25.txt,source,1
kernel,concept,2002-04-15.txt,source,5
belimited,concept,2006-02-07.txt,source,1
solution,concept,2010-06-17.txt,source,1
run,concept,2004-06-02.txt,source,1
note,concept,2003-10-29.txt,source,1
program,concept,2008-09-18.txt,source,1
attackers,concept,2001-06-27.txt,source,1
web,concept,2003-03-25.txt,source,4
uses,concept,2009-02-11.txt,source,1
policy,concept,2005-11-23.txt,source,1
attacks,concept,2001-08-10.txt,source,2
presumes,concept,2002-02-11.txt,source,1
space,concept,2008-07-08.txt,source,1
presents,concept,2007-03-07.txt,source,1
bulletin,concept,2007-09-11.txt,source,1
html,concept,2005-06-08.txt,source,1
exec,concept,2005-06-24.txt,source,5
video,concept,2007-11-16.txt,source,1
exiting,concept,2005-01-25.txt,source,1
database,concept,2005-04-27.txt,source,2
enter,concept,2001-04-28.txt,source,1
attacker,concept,2008-12-09.txt,source,1
controller,concept,2007-01-15.txt,source,1
guaranteed,concept,2006-08-16.txt,source,1
violation,concept,2004-04-05.txt,source,1
code,concept,2000-10-25.txt,source,10
host,concept,2001-04-17.txt,source,2
versions,concept,2004-11-17.txt,source,1
execute,concept,2006-01-20.txt,source,1
com,concept,2001-03-30.txt,source,1
mislead,concept,2008-12-31.txt,source,1
privacy,concept,2008-06-10.txt,source,1
factors,concept,2002-06-17.txt,source,1
period,concept,2005-12-30.txt,source,2
file,concept,2008-04-11.txt,source,3
ca,concept,2007-06-06.txt,source,1
connects,concept,2001-12-27.txt,source,1
kbr,concept,2004-09-02.txt,source,1
remainder,concept,2003-01-06.txt,source,1
date,concept,2004-03-10.txt,source,1
mail,concept,2008-08-18.txt,source,2
code,concept,2002-06-24.txt,source,1
executes,concept,2005-06-08.txt,source,2
attachment,concept,2008-08-25.txt,source,1
gaining,concept,2005-07-12.txt,source,1
ghdlctl,concept,2007-06-19.txt,source,1
attachment,concept,2006-11-05.txt,source,1
attacker,concept,2006-10-27.txt,source,2
allows,concept,2007-07-12.txt,source,1
allow,concept,2002-04-26.txt,source,1
isc,concept,2000-11-10.txt,source,2
authentication,concept,2009-02-23.txt,source,1
called,concept,2001-08-16.txt,source,1
fails,concept,2006-08-01.txt,source,1
sql,concept,2001-11-27.txt,source,10
interchange,concept,2007-03-29.txt,source,1
achieved,concept,2006-01-31.txt,source,1
range,concept,2005-05-11.txt,source,1
kcms_server,concept,2003-01-22.txt,source,5
research,concept,2008-12-31.txt,source,2
overflow,concept,2005-02-15.txt,source,3
date,concept,2002-10-24.txt,source,1
site,concept,2002-03-01.txt,source,1
js,concept,2001-07-27.txt,source,3
java,concept,2005-10-12.txt,source,5
pages,concept,2002-09-14.txt,source,1
existence,concept,2001-07-31.txt,source,1
os,concept,2006-11-07.txt,source,1
january,concept,2001-01-30.txt,source,1
protocol,concept,2008-02-06.txt,source,2
securityshield,concept,2005-03-18.txt,source,1
user,concept,2003-09-25.txt,source,2
process,concept,2000-10-30.txt,source,1
relay-address,concept,2003-02-04.txt,source,1
use,concept,2005-08-18.txt,source,2
-,concept,2006-10-09.txt,source,2
function,concept,2004-09-02.txt,source,8
vulnerability,concept,2000-10-02.txt,source,12
cross-site,concept,2008-04-30.txt,source,1
java,concept,2007-08-14.txt,source,1
condition,concept,2006-01-16.txt,source,1
attack,concept,2007-03-15.txt,source,1
configuration,concept,2008-01-15.txt,source,1
using,concept,2005-10-13.txt,source,1
-,concept,2006-09-01.txt,source,4
service,concept,2007-10-13.txt,source,2
allow,concept,2006-04-17.txt,source,1
process,concept,2002-05-09.txt,source,2
vulnerability,concept,2005-11-17.txt,source,1
date,concept,2006-10-24.txt,source,1
overflow,concept,2005-08-23.txt,source,1
overflow,concept,2008-03-06.txt,source,2
blnmgr,concept,2005-10-14.txt,source,5
ability,concept,2004-02-27.txt,source,2
browsers,concept,2000-12-12.txt,source,1
cross-site,concept,2009-02-05.txt,source,2
execute,concept,2002-07-11.txt,source,1
create,concept,2007-04-09.txt,source,1
cambridge,concept,2001-06-04.txt,source,1
crafted,concept,2007-01-15.txt,source,2
user,concept,2009-02-23.txt,source,2
-,concept,2002-06-12.txt,source,3
note,concept,2007-12-11.txt,source,1
system,concept,2006-12-18.txt,source,1
setuid,concept,2004-04-16.txt,source,1
enabled,concept,2000-11-09.txt,source,1
authoring,concept,2001-09-18.txt,source,1
-,concept,2005-08-10.txt,source,2
user,concept,2001-04-10.txt,source,2
motion,concept,2010-01-04.txt,source,1
techniques,concept,2004-02-02.txt,source,1
os,concept,2003-05-05.txt,source,3
partitions,concept,2007-01-16.txt,source,1
applications,concept,2007-07-27.txt,source,1
version,concept,2006-06-06.txt,source,1
victim,concept,2007-02-15.txt,source,1
bgp,concept,2008-05-06.txt,source,13
address,concept,2006-06-29.txt,source,1
server,concept,2008-02-20.txt,source,1
gateway,concept,2008-03-18.txt,source,3
page,concept,2008-06-25.txt,source,1
review,concept,2002-07-22.txt,source,1
html,concept,2007-01-30.txt,source,1
package,concept,2004-03-24.txt,source,1
lot,concept,2008-04-25.txt,source,1
occur,concept,2005-01-24.txt,source,1
security,concept,2001-12-21.txt,source,1
protocol,concept,2008-02-28.txt,source,1
contains,concept,2006-01-31.txt,source,2
attacker,concept,2005-01-21.txt,source,2
instance,concept,2005-01-06.txt,source,1
files,concept,2008-06-25.txt,source,2
memory,concept,2005-11-03.txt,source,3
dns,concept,2009-05-20.txt,source,1
ensure,concept,2001-11-27.txt,source,1
microsoft,concept,2008-02-13.txt,source,1
internet,concept,2006-08-08.txt,source,1
contain,concept,2010-06-02.txt,source,1
wbs,concept,2008-08-15.txt,source,3
attacker,concept,2008-11-13.txt,source,1
lead,concept,2008-05-29.txt,source,1
-,concept,2007-03-19.txt,source,2
characters,concept,2001-06-19.txt,source,1
vulnerability,concept,2008-05-13.txt,source,2
occurs,concept,2005-07-12.txt,source,1
sun,concept,2002-07-23.txt,source,3
contents,concept,2006-10-19.txt,source,1
view,concept,2002-04-01.txt,source,2
behavior,concept,2003-04-22.txt,source,1
sshd,concept,2003-06-06.txt,source,2
server-sent,concept,2007-06-14.txt,source,1
block,concept,2003-03-26.txt,source,1
obtain,concept,2002-12-12.txt,source,2
succeed,concept,2001-05-25.txt,source,1
code,concept,2003-02-21.txt,source,1
system,concept,2002-11-04.txt,source,1
screen,concept,2004-10-08.txt,source,1
ftp,concept,2001-03-03.txt,source,4
account,concept,2002-07-25.txt,source,7
vulnerabilities,concept,2009-02-05.txt,source,1
keys,concept,2003-05-04.txt,source,1
blackberry,concept,2008-07-18.txt,source,10
structures,concept,2002-07-22.txt,source,1
implementation,concept,2002-12-03.txt,source,1
internet,concept,2008-04-29.txt,source,3
uses,concept,2004-10-01.txt,source,1
answer,concept,2007-09-07.txt,source,1
memory,concept,2003-09-30.txt,source,3
traversal,concept,2008-08-19.txt,source,1
page,concept,2006-08-08.txt,source,1
describes,concept,2002-12-18.txt,source,2
protocols,concept,2001-12-13.txt,source,1
system,concept,2001-10-29.txt,source,3
packages,concept,2006-01-27.txt,source,3
communication,concept,2008-09-25.txt,source,1
html,concept,2004-09-14.txt,source,3
escalation,concept,2006-08-10.txt,source,1
vendors,concept,2003-01-24.txt,source,4
-,concept,2006-08-23.txt,source,2
password,concept,2003-06-05.txt,source,1
user,concept,2002-07-16.txt,source,1
stores,concept,2004-04-19.txt,source,1
link,concept,2001-07-27.txt,source,1
machine,concept,2010-06-07.txt,source,1
e-business,concept,2006-01-18.txt,source,2
exploitation,concept,2004-12-21.txt,source,1
check,concept,2001-01-05.txt,source,4
solstice,concept,2003-09-19.txt,source,2
activex,concept,2004-01-05.txt,source,1
privileges,concept,2006-07-31.txt,source,4
audio,concept,2007-11-15.txt,source,2
expires,concept,2000-11-09.txt,source,1
length,concept,2008-12-02.txt,source,1
numbers,concept,2003-05-16.txt,source,1
support,concept,2004-10-13.txt,source,1
indicates,concept,2008-08-15.txt,source,1
ntpd,concept,2009-05-18.txt,source,5
jobs,concept,2000-11-13.txt,source,1
order,concept,2009-05-01.txt,source,2
setup,concept,2003-09-22.txt,source,1
privileges,concept,2001-05-22.txt,source,1
conditions,concept,2003-03-26.txt,source,1
service,concept,2007-01-15.txt,source,6
platforms,concept,2007-11-24.txt,source,1
transfer,concept,2003-08-11.txt,source,1
authenticate,concept,2007-11-09.txt,source,1
component,concept,2010-03-09.txt,source,1
scripting,concept,2001-03-03.txt,source,3
unauthenticated,concept,2008-06-06.txt,source,1
troubleshooting,concept,2007-01-24.txt,source,1
techinfo,concept,2001-11-27.txt,source,1
encoded,concept,2001-05-15.txt,source,3
encoded,concept,2005-01-21.txt,source,6
router,concept,2004-08-19.txt,source,1
bundled,concept,2002-02-09.txt,source,1
file,concept,2003-12-23.txt,source,1
user,concept,2008-09-02.txt,source,3
email,concept,2002-05-17.txt,source,1
http,concept,2005-06-14.txt,source,1
freebsd-sa-,concept,2002-06-27.txt,source,1
apple,concept,2008-05-29.txt,source,2
dll,concept,2005-06-27.txt,source,1
choosing,concept,2006-04-11.txt,source,1
system,concept,2005-09-20.txt,source,2
referred,concept,2002-02-12.txt,source,1
explorer,concept,2007-02-20.txt,source,1
data,concept,2003-12-09.txt,source,1
solaris,concept,2003-05-19.txt,source,1
unprivileged,concept,2004-03-31.txt,source,1
launches,concept,2003-09-04.txt,source,1
data,concept,2005-10-17.txt,source,3
crafted,concept,2006-08-10.txt,source,1
ip,concept,2001-08-10.txt,source,2
packet,concept,2004-11-29.txt,source,1
allow,concept,2001-01-29.txt,source,1
enabled,concept,2007-10-13.txt,source,1
quicktime,concept,2007-03-06.txt,source,8
exists,concept,2007-07-16.txt,source,1
allow,concept,2005-11-03.txt,source,1
party,concept,2004-04-07.txt,source,1
uses,concept,2004-11-08.txt,source,1
background,concept,2002-02-12.txt,source,2
specially-crafted,concept,2009-06-09.txt,source,1
access,concept,2002-06-13.txt,source,3
http,concept,2001-03-02.txt,source,1
threads,concept,2007-04-11.txt,source,1
installations,concept,2008-09-25.txt,source,1
url,concept,2003-10-07.txt,source,1
released,concept,2002-03-11.txt,source,1
subjected,concept,2001-08-23.txt,source,1
buffer,concept,2005-05-04.txt,source,4
virus,concept,2005-02-15.txt,source,1
exchanges,concept,2003-03-13.txt,source,1
unauthenticated,concept,2008-06-25.txt,source,1
tgctlidx,concept,2007-02-23.txt,source,1
http,concept,2001-06-19.txt,source,2
user,concept,2004-10-22.txt,source,2
mode,concept,2009-12-08.txt,source,8
intruders,concept,2001-06-19.txt,source,1
quoted,concept,2000-10-02.txt,source,1
using,concept,2005-05-06.txt,source,1
allow,concept,2004-12-16.txt,source,1
register,concept,2007-02-23.txt,source,1
share,concept,2004-12-13.txt,source,5
details,concept,2003-05-14.txt,source,1
include,concept,2003-04-25.txt,source,2
sets,concept,2002-08-01.txt,source,1
livedata,concept,2006-05-16.txt,source,12
recover,concept,2002-12-06.txt,source,2
ica,concept,2007-01-04.txt,source,2
vulnerability,concept,2008-04-21.txt,source,4
apache,concept,2001-11-21.txt,source,6
priocntl,concept,2002-12-04.txt,source,8
version,concept,2002-03-02.txt,source,1
tool,concept,2004-04-20.txt,source,1
leveraged,concept,2003-01-23.txt,source,1
intruder,concept,2001-09-07.txt,source,1
heap,concept,2004-03-22.txt,source,2
vulnerability,concept,2007-10-01.txt,source,3
applications,concept,2007-08-15.txt,source,1
availability,concept,2002-09-03.txt,source,1
attacker,concept,2008-10-07.txt,source,2
overflow,concept,2009-11-19.txt,source,2
control,concept,2007-10-08.txt,source,4
versions,concept,2005-08-24.txt,source,1
input,concept,2003-04-30.txt,source,1
portion,concept,2001-11-15.txt,source,1
protocol,concept,2001-09-05.txt,source,1
acceleration,concept,2003-03-25.txt,source,1
fork,concept,2007-11-27.txt,source,3
fails,concept,2010-07-02.txt,source,1
windows,concept,2008-09-18.txt,source,1
player,concept,2006-07-13.txt,source,5
containing,concept,2006-08-01.txt,source,1
flaw,concept,2003-07-17.txt,source,3
authentication,concept,2006-04-20.txt,source,1
unauthenticated,concept,2008-10-23.txt,source,1
api,concept,2005-12-02.txt,source,3
database,concept,2003-02-18.txt,source,4
date,concept,2001-10-01.txt,source,1
buffer,concept,2003-01-13.txt,source,2
controls,concept,2008-03-12.txt,source,3
manages,concept,2001-10-03.txt,source,1
directories,concept,2001-05-30.txt,source,3
browser,concept,2003-11-19.txt,source,4
plug-in,concept,2008-01-30.txt,source,3
detect,concept,2001-05-14.txt,source,1
image,concept,2006-09-14.txt,source,1
code,concept,2001-09-05.txt,source,1
configuration,concept,2003-06-17.txt,source,3
image,concept,2000-10-06.txt,source,1
performance,concept,2003-03-29.txt,source,1
subscribers,concept,2002-05-30.txt,source,1
victim,concept,2002-01-03.txt,source,4
use,concept,2003-05-07.txt,source,1
cache,concept,2000-11-16.txt,source,4
records,concept,2010-01-19.txt,source,2
failure,concept,2003-07-16.txt,source,1
apache,concept,2003-06-24.txt,source,6
execute,concept,2005-04-13.txt,source,1
memcpy,concept,2005-03-04.txt,source,1
-,concept,2002-07-23.txt,source,2
use,concept,2005-07-07.txt,source,2
information,concept,2001-01-05.txt,source,1
-,concept,2002-07-25.txt,source,2
microsoft,concept,2005-08-31.txt,source,1
ocx,concept,2008-01-30.txt,source,1
standards,concept,2003-11-04.txt,source,1
crash,concept,2003-06-11.txt,source,3
vulnerability,concept,2001-07-24.txt,source,1
vulnerability,concept,2006-02-07.txt,source,1
enabled,concept,2003-01-22.txt,source,1
system,concept,2005-07-13.txt,source,5
enable,concept,2010-03-11.txt,source,1
data,concept,2003-04-02.txt,source,2
-,concept,2004-10-21.txt,source,2
compromise,concept,2007-01-18.txt,source,1
components,concept,2008-11-07.txt,source,1
functions,concept,2006-12-18.txt,source,1
buffer,concept,2007-03-29.txt,source,2
program,concept,2005-10-03.txt,source,1
features,concept,2002-12-12.txt,source,2
program,concept,2007-03-26.txt,source,2
search,concept,2006-12-05.txt,source,2
issues,concept,2006-02-09.txt,source,1
macos,concept,2001-11-05.txt,source,1
crafted,concept,2006-09-28.txt,source,1
bsd,concept,2002-11-25.txt,source,1
memory,concept,2010-07-02.txt,source,1
newsham,concept,2004-04-20.txt,source,1
restarting,concept,2008-04-29.txt,source,1
-,concept,2007-02-20.txt,source,2
kerberos,concept,2002-10-23.txt,source,16
management,concept,2001-06-15.txt,source,1
java,concept,2008-08-19.txt,source,1
access,concept,2001-11-27.txt,source,3
supplying,concept,2005-02-28.txt,source,1
service,concept,2006-11-06.txt,source,1
allow,concept,2004-09-13.txt,source,1
result,concept,2003-03-24.txt,source,2
-ipv,concept,2008-03-26.txt,source,1
enforce,concept,2002-09-14.txt,source,1
script,concept,2000-12-22.txt,source,2
attacker,concept,2005-09-22.txt,source,2
exists,concept,2003-09-14.txt,source,2
messages,concept,2001-04-13.txt,source,2
enabled,concept,2002-10-29.txt,source,2
authorizations,concept,2003-04-04.txt,source,3
highest,concept,2001-06-27.txt,source,2
highlighting,concept,2006-12-01.txt,source,1
protocol,concept,2003-03-13.txt,source,3
files,concept,2007-01-02.txt,source,1
affects,concept,2006-01-16.txt,source,1
handler,concept,2009-05-01.txt,source,1
request,concept,2007-01-12.txt,source,2
specify,concept,2005-02-25.txt,source,2
create,concept,2006-08-23.txt,source,1
applications,concept,2005-06-08.txt,source,2
date,concept,2005-01-26.txt,source,1
vulnerabilty,concept,2005-03-09.txt,source,1
executing,concept,2003-09-22.txt,source,1
run,concept,2007-03-26.txt,source,1
operation,concept,2006-06-15.txt,source,1
load,concept,2003-09-14.txt,source,1
information,concept,2004-12-17.txt,source,2
basis,concept,2002-12-06.txt,source,1
attack,concept,2003-06-09.txt,source,1
-enabled,concept,2002-02-12.txt,source,1
requests,concept,2002-12-10.txt,source,1
linux,concept,2006-06-09.txt,source,3
operate,concept,2007-12-11.txt,source,1
continue,concept,2002-02-11.txt,source,1
overflow,concept,2003-05-12.txt,source,1
access,concept,2003-09-04.txt,source,4
possession,concept,2002-05-21.txt,source,1
released,concept,2002-04-01.txt,source,1
crafted,concept,2006-05-17.txt,source,1
resulting,concept,2004-03-30.txt,source,1
developers,concept,2004-08-04.txt,source,1
file,concept,2002-08-07.txt,source,3
attack,concept,2007-04-13.txt,source,1
media,concept,2005-11-14.txt,source,1
characters,concept,2004-05-19.txt,source,1
man,concept,2003-09-19.txt,source,1
attacker,concept,2010-03-02.txt,source,1
occur,concept,2004-04-22.txt,source,1
caused,concept,2007-11-01.txt,source,1
denial,concept,2003-05-16.txt,source,1
privileges,concept,2001-05-15.txt,source,1
url,concept,2002-04-08.txt,source,1
upload,concept,2003-10-29.txt,source,1
chaining,concept,2005-05-09.txt,source,1
directory,concept,2001-06-08.txt,source,1
afforded,concept,2002-12-16.txt,source,1
overwrite,concept,2003-03-29.txt,source,1
code,concept,2005-03-18.txt,source,3
unix-based,concept,2005-08-24.txt,source,1
methods,concept,2009-04-29.txt,source,1
sanitize,concept,2008-02-13.txt,source,1
race,concept,2002-07-29.txt,source,1
x-force,concept,2001-11-12.txt,source,1
contains,concept,2005-04-01.txt,source,1
uses,concept,2008-07-01.txt,source,1
allowing,concept,2001-04-10.txt,source,1
handler,concept,2007-09-13.txt,source,3
provided,concept,2010-05-06.txt,source,2
web,concept,2003-01-21.txt,source,1
code,concept,2005-06-21.txt,source,3
control,concept,2010-01-12.txt,source,2
system,concept,2000-11-10.txt,source,2
property,concept,2008-03-11.txt,source,1
veritas,concept,2005-09-22.txt,source,2
use,concept,2006-11-05.txt,source,1
information,concept,2005-12-02.txt,source,3
time,concept,2007-05-18.txt,source,1
example,concept,2006-07-28.txt,source,1
data,concept,2004-12-10.txt,source,1
rules,concept,2008-09-16.txt,source,3
consume,concept,2005-07-13.txt,source,1
date,concept,2000-10-30.txt,source,1
allows,concept,2006-09-14.txt,source,1
note,concept,2007-10-19.txt,source,1
user,concept,2008-06-26.txt,source,1
fail,concept,2010-06-17.txt,source,1
netbiter,concept,2010-03-24.txt,source,5
using,concept,2002-10-03.txt,source,1
publisher,concept,2002-01-08.txt,source,5
source,concept,2004-01-14.txt,source,4
allocated,concept,2004-09-01.txt,source,3
length,concept,2002-03-04.txt,source,2
date,concept,2001-10-03.txt,source,1
server,concept,2006-01-27.txt,source,1
exploit,concept,2008-04-11.txt,source,1
refback,concept,2003-11-18.txt,source,1
account,concept,2005-08-09.txt,source,8
music,concept,2008-02-05.txt,source,3
vulnerability,concept,2002-01-15.txt,source,3
fails,concept,2004-07-26.txt,source,1
cross-site,concept,2007-10-01.txt,source,2
calling,concept,2002-08-08.txt,source,1
location,concept,2008-06-26.txt,source,1
web,concept,2010-07-02.txt,source,2
modules,concept,2006-07-28.txt,source,2
note,concept,2007-07-23.txt,source,1
handle,concept,2005-01-20.txt,source,1
contains,concept,2008-03-12.txt,source,1
stores,concept,2002-08-07.txt,source,1
curves,concept,2006-01-01.txt,source,1
ssl,concept,2001-12-04.txt,source,1
attacker,concept,2005-07-02.txt,source,2
security,concept,2008-07-08.txt,source,1
ms,concept,2003-04-10.txt,source,1
dos,concept,2005-01-26.txt,source,1
attack,concept,2001-08-16.txt,source,1
vulnerability,concept,2004-03-30.txt,source,4
lotus,concept,2007-12-21.txt,source,2
date,concept,2006-06-28.txt,source,1
display,concept,2002-04-02.txt,source,1
server,concept,2004-02-05.txt,source,1
code,concept,2008-06-25.txt,source,1
define,concept,2004-06-22.txt,source,2
controls,concept,2009-02-23.txt,source,1
combination,concept,2001-04-13.txt,source,1
provides,concept,2004-07-14.txt,source,1
-,concept,2001-02-07.txt,source,2
user,concept,2010-01-12.txt,source,1
access,concept,2006-07-24.txt,source,1
execute,concept,2007-09-06.txt,source,1
overflow,concept,2002-06-13.txt,source,3
vendors,concept,2007-09-07.txt,source,1
product,concept,2008-09-16.txt,source,1
mailto,concept,2007-07-26.txt,source,1
system,concept,2004-11-08.txt,source,3
ios,concept,2007-08-09.txt,source,5
attempt,concept,2005-08-24.txt,source,1
feature,concept,2007-05-30.txt,source,1
allow,concept,2002-06-17.txt,source,3
stop,concept,2003-03-26.txt,source,1
execute,concept,2002-07-22.txt,source,4
renders,concept,2008-07-18.txt,source,1
vulnerability,concept,2003-03-26.txt,source,1
concern,concept,2001-02-16.txt,source,1
perform,concept,2005-07-06.txt,source,1
contains,concept,2004-03-23.txt,source,1
note,concept,2002-04-08.txt,source,1
implications,concept,2001-08-10.txt,source,2
date,concept,2003-10-15.txt,source,1
encounters,concept,2002-03-11.txt,source,1
code,concept,2001-10-24.txt,source,4
code,concept,2008-04-11.txt,source,4
execution,concept,2003-11-04.txt,source,1
notified,concept,2000-09-29.txt,source,6
instances,concept,2001-06-19.txt,source,1
browser,concept,2005-06-28.txt,source,2
stick,concept,2003-06-13.txt,source,1
authenticates,concept,2009-11-30.txt,source,1
-,concept,2004-09-15.txt,source,2
exist,concept,2007-10-05.txt,source,1
use,concept,2001-01-17.txt,source,1
enforce,concept,2005-09-09.txt,source,1
uses,concept,2008-01-15.txt,source,1
web,concept,2002-07-09.txt,source,3
capture,concept,2001-05-17.txt,source,1
access,concept,2006-10-02.txt,source,6
prevent,concept,2001-03-27.txt,source,1
message,concept,2006-06-14.txt,source,1
attempts,concept,2003-03-25.txt,source,1
disk,concept,2003-06-12.txt,source,1
asp,concept,2010-05-06.txt,source,1
web,concept,2000-12-12.txt,source,3
installed,concept,2003-07-15.txt,source,4
prevent,concept,2004-11-23.txt,source,2
program,concept,2006-10-20.txt,source,5
js_valuetofunctionobject,concept,2006-04-17.txt,source,1
archive,concept,2004-11-12.txt,source,10
tools,concept,2003-11-12.txt,source,2
execute,concept,2006-02-15.txt,source,1
hide,concept,2005-11-16.txt,source,1
represents,concept,2002-06-25.txt,source,1
user,concept,2001-07-02.txt,source,2
cisco,concept,2004-03-29.txt,source,2
windows,concept,2004-02-02.txt,source,6
date,concept,2004-08-19.txt,source,1
details,concept,2006-04-19.txt,source,1
communicates,concept,2001-05-17.txt,source,1
attacker,concept,2004-09-17.txt,source,3
string,concept,2002-06-07.txt,source,1
syntax,concept,2003-11-19.txt,source,1
kb-,concept,2005-12-31.txt,source,1
process,concept,2007-08-01.txt,source,1
ios,concept,2006-10-13.txt,source,2
ability,concept,2002-10-28.txt,source,1
candidate,concept,2002-12-16.txt,source,1
address,concept,2002-10-08.txt,source,2
indicating,concept,2004-11-23.txt,source,1
-,concept,2006-09-29.txt,source,2
example,concept,2003-11-18.txt,source,1
parser,concept,2004-10-01.txt,source,1
overflow,concept,2003-07-30.txt,source,1
storage,concept,2006-08-23.txt,source,5
exists,concept,2002-05-06.txt,source,2
network,concept,2008-01-25.txt,source,1
denial-of-service,concept,2006-09-11.txt,source,2
multicast,concept,2007-03-15.txt,source,1
vulnerability,concept,2003-05-16.txt,source,1
-,concept,2009-02-10.txt,source,2
passwords,concept,2002-02-26.txt,source,1
fireworks,concept,2009-07-22.txt,source,1
mss,concept,2002-10-08.txt,source,1
overflow,concept,2005-08-09.txt,source,2
reports,concept,2005-05-12.txt,source,1
component,concept,2007-06-27.txt,source,1
date,concept,2007-06-28.txt,source,1
application,concept,2004-03-20.txt,source,2
records,concept,2007-01-05.txt,source,1
information,concept,2003-02-21.txt,source,1
internet,concept,2002-05-10.txt,source,1
html,concept,2007-04-10.txt,source,2
execute,concept,2006-02-07.txt,source,1
poison,concept,2007-08-28.txt,source,1
buffers,concept,2004-10-08.txt,source,1
cvename,concept,2002-05-06.txt,source,1
call,concept,2000-12-04.txt,source,1
iceadmin,concept,2003-08-18.txt,source,1
networks,concept,2006-05-16.txt,source,2
linux,concept,2001-11-12.txt,source,1
space,concept,2003-04-16.txt,source,1
returned,concept,2001-08-17.txt,source,2
internet,concept,2009-11-30.txt,source,3
message,concept,2008-03-07.txt,source,3
vulnerability,concept,2006-12-01.txt,source,1
firefox,concept,2006-07-31.txt,source,1
constructs,concept,2009-11-30.txt,source,1
allows,concept,2005-11-23.txt,source,1
linux,concept,2002-10-01.txt,source,1
contains,concept,2007-04-25.txt,source,1
information,concept,2002-08-30.txt,source,1
memory,concept,2006-04-11.txt,source,1
overflow,concept,2008-10-07.txt,source,1
allow,concept,2002-01-15.txt,source,1
date,concept,2003-06-27.txt,source,1
datagrams,concept,2003-01-06.txt,source,1
subjected,concept,2003-10-07.txt,source,1
lock,concept,2003-02-05.txt,source,4
run,concept,2006-05-16.txt,source,1
documents,concept,2003-07-15.txt,source,1
handlers,concept,2007-05-18.txt,source,1
getnetnamadr,concept,2002-06-27.txt,source,1
request,concept,2004-04-06.txt,source,1
resource,concept,2006-10-11.txt,source,1
formatted,concept,2006-06-30.txt,source,1
user,concept,2005-10-13.txt,source,4
thunderbird,concept,2006-06-02.txt,source,1
maintains,concept,2004-02-02.txt,source,1
condition,concept,2003-10-14.txt,source,1
released,concept,2003-07-31.txt,source,1
activex,concept,2005-01-24.txt,source,4
reused,concept,2004-01-21.txt,source,1
xxxhome,concept,2001-04-13.txt,source,1
contains,concept,2004-03-09.txt,source,1
process,concept,2005-03-09.txt,source,1
utilize,concept,2005-11-16.txt,source,1
program,concept,2005-08-19.txt,source,1
containing,concept,2001-08-02.txt,source,1
vt,concept,2003-05-30.txt,source,1
vulnerability,concept,2006-12-20.txt,source,2
client,concept,2005-09-09.txt,source,6
october,concept,2005-10-19.txt,source,1
requests,concept,2005-03-14.txt,source,3
default,concept,2006-12-01.txt,source,1
msdxm,concept,2000-11-16.txt,source,1
extension,concept,2007-04-16.txt,source,1
variety,concept,2009-12-14.txt,source,1
performing,concept,2007-04-16.txt,source,1
-,concept,2001-12-04.txt,source,2
error,concept,2005-10-11.txt,source,1
construct,concept,2001-03-30.txt,source,1
man-in-the-middle,concept,2002-02-04.txt,source,1
sparc,concept,2004-09-03.txt,source,1
section,concept,2008-05-06.txt,source,1
type,concept,2006-06-29.txt,source,1
reference,concept,2009-05-18.txt,source,1
web,concept,2008-02-04.txt,source,3
java,concept,2007-12-04.txt,source,1
ssl-secured,concept,2001-08-10.txt,source,1
validation,concept,2007-03-16.txt,source,1
overflow,concept,2001-10-25.txt,source,2
performing,concept,2007-02-05.txt,source,1
icc,concept,2005-01-27.txt,source,3
protocol,concept,2001-05-01.txt,source,2
stealing,concept,2005-01-12.txt,source,1
access,concept,2002-06-25.txt,source,4
ibe,concept,2004-03-22.txt,source,1
attacker,concept,2006-12-12.txt,source,4
believe,concept,2006-10-19.txt,source,1
computer,concept,2000-12-14.txt,source,2
refer,concept,2004-03-30.txt,source,2
vulnerability,concept,2001-11-27.txt,source,1
links,concept,2005-01-12.txt,source,1
